Periode (P1, P2, P3_Publication Year _Title (Cleaned)                _Author (Cleaned)_MERGED_ISI_SCOPUS SIIIII                   _Source (Cleaned) SI                                           DOI                                 ISSN                             _Affiliations (Country) (ICountries (ISO3 codes)            Affiliations                                                                                                                                                                                                                                                     
                 P1              1986Towards a theory of innovation iBarras, R.                                                   RESEARCH POLICY                                                10.1016/0048-7333(86)90012-0        0048-7333; 00487333              GBR                                                         Technical Change Centre, 114 Cromwell Road, London, SW7 4ES, United Kingdom                                                                                                                                                                                      
                 P1              1988High technology salespeople’s inBeltramini, R. F.                                            JOURNAL OF PERSONAL SELLING AND SALES MANAGEMENT               10.1080/08853134.1988.10754479                                8853134USA                                                         Arizona State University, United States                                                                                                                                                                                                                          
                 P1              1989Models for distinguishing innovaKhan, A. M.; Manopichetwattana, V.                           JOURNAL OF BUSINESS VENTURING                                  10.1016/0883-9026(89)90020-7                                  8839026THA                                                         C P Corporation, Bangkok, Thailand; University of Texas, ArlingtonUSA                                                                                                                                                                                            
                 P1              1990Interactive innovation in financBarras, R.                                                   RESEARCH POLICY                                                10.1016/0048-7333(90)90037-7                                   487333GBR                                                         Property Market Analysis, 9 Broad Court, London, WC2B 5QN, United Kingdom                                                                                                                                                                                        
                 P1              1992Cultural anchoring in the servicLatour, M. S.; Roberts, S. D.                                JOURNAL OF SERVICES MARKETING                                  10.1108/08876049210037140                                     8876045USA                                                         Professor of Marketing at Auburn University, Journal of Personal Selling and Sales Management, United States; Professor of Marketing at Old Dominion University, Journal of Economic Psycholog, United States                                                    
                 P1              1993Services in the new industrial eMiles, Ian                                                   FUTURES                                                        10.1016/0016-3287(93)90106-4        0016-3287; 00163287                                                                          
                 P1              1994Computer-simulation applicationsSmith, D. J.                                                 SERVICE INDUSTRIES JOURNAL                                     10.1080/02642069400000041           0264-2069                                                                                    
                 P1              1994Improved customer service using Kerkhof, Marco                                               INTERNATIONAL JOURNAL OF COMPUTER APPLICATIONS IN TECHNOLOGY                                                                 9528091NLD                                                         Univ of Twente, Enschede, Netherlands                                                                                                                                                                                                                            
                 P1              1995Technology systems and technologMetcalfe, J. S.                                              CAMBRIDGE JOURNAL OF ECONOMICS                                                                     0309-166X                                                                                    
                 P1              1995Service logic - achieving servicBowen, D.; George, W. R.; Kingmanbrundage, J                 INTERNATIONAL JOURNAL OF SERVICE INDUSTRY MANAGEMENT           10.1108/09564239510096885           0956-4233                                                  USA                               
                 P1              1995Technological regimes and innovaBuzzacchi, L.; Colombo, M. G.; Mariotti, S.                  RESEARCH POLICY                                                10.1016/0048-7333(93)00756-J        0048-7333; 00487333              ITA                       ITA                               Politecnico di Milano, Dipartimento di Economia e Produzione, Milano, Italy; Politecnico di Torino, Dipartimento dei Sistemi, Produzione ed Economia dell'Azienda, Torino, Italy                                                                                 
                 P1              1995Measuring innovation in servicesEvangelista, R.; Sirilli, G.                                 RESEARCH EVALUATION                                            10.1093/rev/5.3.207                                           9582029ITA                                                         The Instihrte for Studies on Scientific Research and Documentation, National Research Council of Italy, Via C. De Lollis, 12, Roma, 00185, Italy                                                                                                                 
                 P2              1996Market orientation and innovatioAtuahene-Gima, K.                                            JOURNAL OF BUSINESS RESEARCH                                   10.1016/0148-2963(95)00051-8        0148-2963; 01482963              HKG                                                         Dept. of Business and Management, City University of Hong King, 83 Tat Chee Avenue, Hong Kong, Hong Kong                                                                                                                                                         
                 P2              1996Differential potency of factors Atuahene-Gima, K.                                            JOURNAL OF PRODUCT INNOVATION MANAGEMENT                       10.1111/1540-5885.1310035; 10.1016/007376782; 0737-6782              HKG                       AUS                               Dept. of Business and Management, City University of Hong Kong, 83 Tat Chee Avenue, Hong Kong, Hong Kong                                                                                                                                                         
